Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
James Madison,Sun Belt,54,55,295,231,30-3,18-3,12-0,12-2,323,333,1-1,0-1,7-1,22-0,
Ohio St.,Big Ten,55,54,35,104,19-12,9-11,10-1,2-8,66,251,3-6,2-5,9-1,5-0,
Virginia Tech,ACC,56,56,50,109,18-13,10-10,8-3,2-9,49,38,3-8,3-4,6-1,6-0,
SMU,AAC,57,57,110,152,19-11,11-7,8-4,5-7,121,171,0-4,3-5,8-1,8-1,
McNeese,Southland,58,58,327,245,24-3,17-1,7-2,11-3,333,136,0-0,3-2,3-0,18-1,
Bradley,MVC,59,59,98,137,21-11,14-8,7-3,6-6,129,213,0-4,3-4,12-2,6-1,
Iowa,Big Ten,60,60,31,103,18-13,10-10,8-3,4-8,19,98,3-8,5-3,4-2,6-0,
UCF,Big 12,61,61,55,111,16-14,7-11,9-3,3-7,31,346,4-9,2-2,3-2,7-1,
Seton Hall,Big East,62,62,67,115,20-11,13-7,7-4,5-6,33,228,5-7,4-3,2-1,9-0,
Providence,Big East,63,64,67,115,19-12,10-10,9-2,4-7,38,241,5-8,2-4,2-0,10-0,
Xavier,Big East,64,65,19,96,15-16,9-11,6-5,3-8,5,33,2-12,5-2,1-1,7-1,
Butler,Big East,65,66,35,104,17-13,9-11,8-2,4-7,11,82,4-11,4-2,2-0,7-0,
San Francisco,WCC,66,63,165,187,22-10,12-6,10-4,6-5,115,208,0-7,1-3,6-0,15-0,
Washington,Pac-12,67,67,22,98,17-14,9-11,8-3,5-6,75,72,2-7,5-5,6-2,4-0,
Oregon,Pac-12,68,68,46,108,20-11,12-8,8-3,6-5,78,238,2-6,4-4,8-1,6-0,
Memphis,AAC,69,69,92,132,22-9,11-7,11-2,7-6,97,81,2-3,4-4,11-1,5-1,
Kansas St.,Big 12,70,70,28,100,18-13,8-10,10-3,2-8,23,223,4-7,4-6,5-0,5-0,
Richmond,Atlantic 10,71,71,113,153,23-8,15-3,8-5,7-5,116,193,1-2,4-4,10-2,8-0,
App State,Sun Belt,72,72,223,205,25-6,17-3,8-3,8-4,276,280,2-0,1-0,7-5,15-1,
UC Irvine,Big West,73,73,183,192,23-8,17-3,6-5,8-8,178,44,0-3,1-2,7-2,15-1,
Samford,SoCon,74,74,205,199,27-5,18-3,9-2,8-5,257,261,0-1,2-1,10-3,15-0,
UNLV,Mountain West,75,75,79,121,17-11,12-6,5-5,7-3,77,119,5-4,1-4,6-0,5-3,
VCU,Atlantic 10,76,76,88,130,19-12,11-7,8-5,5-4,101,180,1-4,5-4,6-2,7-2,
Maryland,Big Ten,77,77,55,111,15-16,7-13,8-3,4-8,56,304,2-8,4-4,2-4,7-0,
South Fla.,AAC,78,78,138,173,23-6,16-2,7-4,7-4,185,319,1-0,5-3,8-1,9-2,
Syracuse,ACC,79,79,19,96,19-11,11-9,8-2,4-7,41,94,2-8,4-2,9-1,4-0,
NC State,ACC,80,80,71,117,17-14,9-11,8-3,4-7,57,181,1-8,4-5,4-1,8-0,
North Texas,AAC,81,81,96,135,15-13,10-8,5-5,5-5,102,103,0-5,3-4,8-3,4-1,
St. Bonaventure,Atlantic 10,82,82,113,153,18-12,9-9,9-3,5-6,112,258,0-4,2-2,9-3,7-3,
Massachusetts,Atlantic 10,83,83,123,162,20-10,11-7,9-3,4-6,168,356,1-1,1-2,8-6,10-1,
Loyola Chicago,Atlantic 10,84,84,109,151,22-8,15-3,7-5,7-4,117,197,1-2,4-4,9-1,8-1,
